Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),navigation/actual-heading-rad,propulsion/tank[0]/contents-volume-gal,propulsion/tank[1]/contents-volume-gal,systems/mixture-cmd-norm,guidance/wp-heading-rad,guidance/wp-distance,guidance/wp-heading-deg,guidance/selected_target_heading,guidance/angle-to-heading-rad,ap/roll-control-autopilot-on,ap/roll-autopilot-windup-trigger,ap/limited-roll-angle-rad,ap/roll-attitude-selector,ap/limited-roll-angle-error,ap/roll-rate-pid-control,ap/total-limited-roll-rate,ap/roll-rate-saturation,ap/limited-roll-rate-error,ap/roll-command-pid-control,ap/roll-cmd-smoother,ap/roll-cmd-norm-output,ap/roll-command-selector-steering,fcs/attitude/sensor/phi-rad,fcs/wing-leveler-ap-on-off,fcs/roll-ap-error-pid,fcs/roll-ap-autoswitch,fcs/heading-true-degrees,fcs/heading-error,fcs/heading-error-bias-switch,fcs/heading-corrected,fcs/heading-command,fcs/heading-roll-error-lag,fcs/heading-roll-error,fcs/heading-roll-error-switch,fcs/heading-pi-controller,fcs/roll-command-selector,fcs/altitude-error,fcs/alt-error-lag,fcs/hdot-command,fcs/hdot-error,fcs/ap-alt-hold-switch,fcs/windup-trigger,fcs/altitude-hold-pid,fcs/elevator,fcs/pitch-trim-sum,fcs/elevator-control,fcs/elevator-actuator,fcs/roll-trim-sum,fcs/left-aileron-control,fcs/left-aileron-actuator,fcs/right-aileron-control,fcs/right-aileron-actuator,fcs/delta-aileron-pos,fcs/effective-aileron-pos,fcs/yaw-trim-sum,fcs/rudder-control,fcs/flaps-control,fcs/flap-position-normalizer,IO320 Power Available (engine 0 in ft-lbs/sec),IO320 HP (engine 0),IO320 equivalent ratio (engine 0),IO320 MAP (engine 0 in inHg),Fixed-Pitch 75-inch Two-Blade Propeller Torque (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Pitch (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Yaw (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller Thrust (engine 0 in lbs),Fixed-Pitch 75-inch Two-Blade Propeller RPM (engine 0),Fuel Tank 0,Fuel Tank 1,/fdm/jsbsim/position/vrp-gc-latitude_deg,/fdm/jsbsim/position/vrp-longitude_deg,/fdm/jsbsim/position/vrp-radius-ft,velocities/pi-deg_sec
0,0,0,0,878.1735276534943,-21237.03287566285,-0.001163682511411853,0.004178074132240403,0,9.277188200408133e-19,0,0,0,1525.92219455,0,0,0,-0.001995097474354633,-0.0002851831002596594,-1297.997856868937,1297.8865848677,-0.0002851831002596594,-0.001995097474642847,-0.001995097474347508,-0.0002851831002596594,-1330.085395081775,0,0,0,0,1525.922194545818,0,0,0,0,0,0,0, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,0,0,0,1.272221872585407e-14,0,1,0,1.110223024625157e-16,0,0.7071067811865476,0,-0.7071067811865475,0,0.7071067811865476,0,-0.7071067811865475,0,0,0,0,0,0,20925646.32546,0,0,20925646.32546,0,0,0,0,0,0.003,19.6969697,19.6969697,0.999635333,3.14159265,0,180.013259,3.14159265,3.13859265,0,1,0.523,0,0,0,0.348,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9213,0,-0,-0,0,0,130,130,6.59306903546138079e-07,-9.64579064579641711e-07,20925646.5815419964,0.00417807413224040303
0.2399999052,17.4576157810939,-328.225633787492,-3.748758224609917,-14.8307596875591,264.3060639056396,-20.8660916387583,17.45831623500956,-328.2258077273005,-3.752873490422664,0.6322885473,718791.92,23.0676939497,1526.68165047,-20.94147085519604,-0.9248234057128071,-9.629018862014821,-13.7556911391778,-2.501974200568489,104.4870469210719,-38.31915793665024,0.5788887468246707,22.37992818958046,9.750067113855165,-0.007755356320709655,-21.06162420243934,-20.94147085519604,-0.9248234057128071,-9.629018862014821,22.23609551384137,1526.507869162786,6.011932695314927,22.26281926517269,0.5848485180585896,6.011932695314923,6.011931924120397,0.5848483979112578,-22.26281947658514, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,5.9887932576239,5.9887932608596,18.88187099004666,-79.94452607721892,343.7778775980044,0.7632807280490624,0.03503600718073383,-0.6451120298332899,-0.002340374777053392,-0.08355787052102857,-0.02642909542541712,0.9958840710485609,-0.0231193040710545,0.08355766821156059,0.02643780994237126,-0.99588383974172,0.02312003524620181,-155.3067334841,-2.2977018625217,1.9714660414409e-06,1.9847527266133e-06,3.0921218779984e-07,20925652.31104664,366.334217817444,0.7200218459918071,20925652.31425325,0.1129309486356078,0.7200218459918071,0.0010027373957758,5.9887932608596,3.2706509777303e-09,6.00305586,19.6969697,19.6969697,0.999419012,-2.98601633,0.728824088,-171.098736,-2.98601633,-2.70588689,0,1,-0.523,0,-0.329550818,-0.174,0.348,0,-0.483627182,-1.20906796,-1.22322488,0,0,0,-1,298.305814,0,343.803201,-343.803201,360,16.1967992,0.282634147,0.00216889787,-0.32738192,0,0,0,-5.98879326,-0.2881894,-0.0345654689,-22.2973849,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29955,29.9228,0,-0,0,0,0,130,130,2.81278410600298e-06,-6.49762494439966076e-07,20925652.1393708773,17.4583162350095584
0.4799998105,9.975707089552403,-288.3906542750651,-8.222735952662427,-43.72049228807173,67.04319576045712,-12.3303588417078,9.971995953170472,-288.3911015666889,-8.22460242002418,0.3028525131,497443.4944,15.9657551815,1526.6075596,-12.81964075370677,-0.913532249817382,9.472465797709653,65.20731931760979,1.453593700000071,40.10948496933364,-29.90323411776974,-0.3943922525193269,-4.650876060995183,3.159237085350315,-0.01122067163723367,4.132056185753926,-12.81964075370677,-0.913532249817382,9.472465797709653,14.15697987215433,1526.524684844827,7.253103061814012,14.21043071259825,0.6012432548342367,7.253103061814011,7.253101346649853,0.6012430758335975,-14.2104315956034, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,10.293097544461,10.293097549294,176.6957067718542,-26.34249081232993,187.6214724224546,-0.2291296796247777,-0.05813054428180778,0.9715733164132446,0.01287325018465308,0.5249869816611106,-0.05020726797328608,0.8490251986909554,-0.0320017392777189,-0.5249875416453622,0.05022212681425713,-0.849024319880067,0.03199255143938155,143.53920877253,-3.2801545755625,6.8691652538789e-06,6.9154599479324e-06,7.2172204742661e-07,20925656.60572964,732.7063127705137,2.508767566832311,20925656.61855739,0.2635884853445987,2.508767566832311,0.0020054747915516,10.293097549294,3.2706509777303e-09,3.27761244,19.6969697,19.6969697,0.99926356,-3.0369098,2.52257553,-174.014932,-3.0369098,-0.0313369382,0,1,-0.0313369382,0,-3.08392186,-0.174,0.348,0,-0.363491372,-0.908728431,-0.9551582,0,0,0,-1,165.744402,0,187.635293,-187.635293,360,30,0.5235,0.0271162245,-3.05680563,0,0,0,-10.2930975,-1.05393366,-0.126363557,-14.3367952,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29954,29.9216,0,-0,0,0,0,130,130,6.70003956650832477e-06,-3.13241249218707873e-07,20925656.300797496,9.97199595317047205
0.7199997157,-0.1948093439935395,-273.116484639848,-10.15126574535467,-41.23747489526077,54.4143699644234,-3.353556986853606,-0.1979330965451246,-273.1170875839683,-10.14855743742558,0.1096811857,299353.2883,9.608509185,1526.50540996,-0.6622056615191241,-0.6013080549072199,9.566784258211516,25.14265260178942,0.6364369146272326,-21.0026443182807,-31.84485049866054,-0.06095306122572292,-0.3958881641405058,0.5342075328238224,-0.01030825160932952,0.003136151025566208,-0.6622056615191241,-0.6013080549072199,9.566784258211516,6.702606782848956,1526.475623526531,6.783249541884047,6.782780832017694,0.5521400144448541,6.783249541884045,6.783248180056059,0.5521398846836625,-6.782782204502482, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,12.821438156068,12.821438153218,178.1092397974566,41.11773076280226,187.0563575755934,0.3495055408518046,-0.06339530548837963,0.9340534856767485,0.03702699084503723,0.9076133333842973,-0.07100928880169285,0.4133377239211027,-0.01864521253952856,-0.9076138225382872,0.07102013955531894,-0.4133358596709739,0.01862138622762594,93.959655155199,-3.5879594610564,1.1426677031632e-05,1.1503687036972e-05,1.0961239641791e-06,20925659.11803501,1099.064547096089,4.173269842519863,20925659.14689773,0.400328203090794,4.173269842519863,0.0030082121873275,12.821438153218,-3.2706509777303e-09,3.26774933,19.6969697,19.6969697,0.999172256,-3.04595853,4.19242438,-174.533424,-3.04595853,-0.0305225483,0,1,-0.0305225483,0,-3.10859266,-0.174,0.348,0,-0.185047744,-0.462619361,-0.506224927,0,0,0,-1,156.41591,0,187.070136,-187.070136,360,30,0.5235,0.0513251811,-3.05726748,0,0,0,-12.8214382,-2.06950797,-0.248075615,-7.03085782,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9192,0,-0,0,0,0,130,130,1.06184328396564057e-05,1.35505551501170735e-09,20925659.1211853214,-0.197933096545124615
0.9599996209,-9.768184384752331,-263.1181046565948,-10.02714031627472,-37.35074869501128,32.71468100451782,4.987699171866747,-9.767081086008881,-263.1188328982315,-10.02317689610323,0.05556981746,213076.0275,6.8393358221,1526.4853792,0.9496261916150638,-0.6506559234983789,6.741763230257561,0.25309165613087,-1.386470021392076,4.030416300503547,-32.085945771241,-0.008877175959102368,-0.003048888920571563,0.1077154630179471,-0.004596076539184255,-0.03403385921890912,0.9496261916150638,-0.6506559234983789,6.741763230257561,-0.9931873547087967,1526.470089670553,6.759572856520391,-0.8862891232503408,0.5469742908388275,6.759572856520389,6.759573103701658,0.546974313371862,0.8862872241334854, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,13.529970515519,13.529970514212,-2.674867817270255,74.55442503263153,7.460360080927363,0.7928926804419023,-0.05792606931565483,0.6030159236793894,0.06586018208588652,0.9870564210968317,-0.0875300968592727,-0.1342632810516775,0.005610265284151851,-0.9870562241209051,0.08752539730373929,0.1342663447099755,-0.005644814365949121,81.982222972675,-5.4590538326579,1.5872529083288e-05,1.5979501872001e-05,1.4566891644252e-06,20925659.80411833,1465.417688705475,5.796991461936102,20925659.8554297,0.532014438565966,5.796991461936102,0.0040109495831033,13.529970514212,3.2706509777303e-09,0.133207847,19.6969697,19.6969697,0.999146671,-3.05007478,5.82134909,-174.769285,-3.05007478,3.09990268,0,1,0.523,0,0.0466852505,0.174,0.348,0,0.331251899,0.828129746,0.59596582,0,0,0,-1,-1.71049309,0,7.46090962,-7.46090962,0,-7.46090962,-0.130192873,0.0676417045,0.114326955,0,0,0,-13.5299705,-3.14146767,-0.37655108,0.509736144,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9165,0,-0,0,0,0,130,130,1.55496126539121124e-05,4.09648525940123154e-07,20925660.1512747146,-9.76708108600888103
1.199999526,-17.58686990657793,-252.9333537002145,-8.041797854178199,-25.10615878624346,60.1301156511617,11.58609609794529,-17.58284597079724,-252.9341153430101,-8.040970723874514,0.1417282455,340288.9749,10.9223340665,1526.51198173,4.787393642615982,-1.377523833008931,9.720116854279773,36.50549215915188,-4.853766210378838,9.47218808082625,-31.93473045751966,0.03186198971097259,0.2521147642646038,0.3052319456203418,0.009006753978850464,-0.2030777710854385,4.787393642615982,-1.377523833008931,9.720116854279773,-8.674278126805067,1526.472251653054,6.786176593833985,-8.540655234264756,0.5499062351410934,6.786176593833984,6.786179643148683,0.5499065059136922,8.540652793925615, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,12.397962115705,12.397962115398,-4.671967751193979,12.42309300552654,9.530041147110081,0.9895036089734466,-0.0493605998703123,0.1043701545130528,0.08690805403349411,0.7734854437711628,-0.09635648405669545,-0.6258840075122615,0.02655005451502009,-0.7734842813949769,0.09632909986633359,0.6258882227669081,-0.0265838965450742,63.778633780382,-7.2454339911175,2.0319669775304e-05,2.0456614042254e-05,1.8165031497714e-06,20925658.6432469,1831.770419199269,7.421183177960624,20925658.72342078,0.6634262646423394,7.421183177960624,0.0050136869788791,12.397962115398,-3.2706509777303e-09,0.169330596,19.6969697,19.6969697,0.999187548,-3.05243337,7.45077365,-174.904432,-3.05243337,3.06142134,0,1,0.523,0,0.0815412198,0.174,0.348,0,0.471699954,1.17924989,1.14920568,0,0,0,-1,-13.9701323,0,9.53074314,-9.53074314,0,-9.53074314,-0.166311468,0.0571982658,0.138739486,0,0,0,-12.3979621,-4.08978001,-0.490266551,8.05038624,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29952,29.9146,0,-0,0,0,0,130,130,2.09916809090663263e-05,8.96584255346765311e-07,20925658.9964566417,-17.5828459707972407
1.439999431,-21.5783498261637,-233.5196570871391,-4.933961520006545,-6.41936942525192,107.6144940138024,13.58534529085451,-21.57556651996826,-233.5202035343275,-4.937029239933001,0.3672886341,547816.851,17.5821564748,1526.58303848,16.30518536238851,-2.730099014382671,5.984957474734071,47.50573281019408,-5.519439856216271,-45.47794957449887,-32.19450549729204,0.01128686371835439,-0.3058268331894162,-0.2039107648936337,0.0550083689072134,0.2216967387370786,16.30518536238851,-2.730099014382671,5.984957474734071,-16.35428330781412,1526.480178247844,6.824676671774718,-16.19393491965207,0.5590048732919556,6.824676671774714,6.824683727860502,0.5590054897529468,16.1939319246951, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,9.4309782274067,9.4309782292008,-12.24301629838464,-45.998721446883,16.47023059555978,0.9117908353519596,-0.04150248003601729,-0.3985471573654836,0.08986200573617195,-0.3629178825946877,0.09288870851080917,0.9265489611309307,-0.03419533522829069,-0.3629160867297081,0.0928400615906539,0.926553836808988,-0.03421438953396167,20.156092530521,-8.9328435607892,2.479802134279e-05,2.4965147451478e-05,2.1811013334016e-06,20925655.64098583,2198.124664033252,9.056772810666292,20925655.75643624,0.7965852993106637,9.056772810666292,0.0060164243746549,9.4309782292008,3.2706509777303e-09,0.290459752,19.6969697,19.6969697,0.999294694,-3.05386376,9.09173289,-174.986393,-3.05386376,2.93886179,0,1,0.523,0,0.213680945,0.174,0.348,0,0.54784489,1.36961222,1.3584999,0,0,0,-1,-54.750347,0,16.4714438,-16.4714438,0,-16.4714438,-0.287426695,0.0440934763,0.257774421,0,0,0,-9.43097823,-4.75136021,-0.569715125,15.6242168,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29951,29.9141,0,0,-0,-0,0,130,130,2.58782159804978688e-05,1.36243268426915494e-06,20925655.7051820494,-21.5755665199682518
1.679999337,-21.48918003801932,-203.2075196286445,-1.756528409418536,7.101679917615111,140.5496354825348,13.14835270555167,-21.48995580348604,-203.2076929598189,-1.760630170954648,0.7341716762,774550.8271,24.8563036586,1526.68211139,22.35241440736278,-3.51264540832902,-10.28915564891767,-2.456350035259952,-0.4318617090588024,-80.08319242650541,-33.76604548572806,0.06558817282789246,-6.594038629304372,2.757103961717848,0.09451263639003339,6.191258402206191,22.35241440736278,-3.51264540832902,-10.28915564891767,-24.27765201208419,1526.476889978456,6.096656457626079,-24.09057914253895,0.5573223354053166,6.096656457626081,6.096668788822551,0.55732340651533,24.0905759970727, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,4.6054777726531,4.6054777695301,-138.2285467464771,-76.26796151024107,141.4605744407561,-0.6371479283956283,0.03471426512159943,0.7663650464656508,-0.07431051536577697,0.09137055505263096,0.07709214670315546,0.9924335203367418,-0.02799875529546136,0.09137226990974572,0.07703135629194746,0.9924382406573731,-0.02799315845455048,-24.717333075934,-8.1241257277081,2.9131545860323e-05,2.9327877775788e-05,2.5474723053242e-06,20925650.77379409,2564.479224000555,10.63946707649756,20925650.93093503,0.9303916740545901,10.63946707649756,0.0070191617704308,4.6054777695301,-6.5413019554606e-09,2.47195279,19.6969697,19.6969697,0.999468975,-3.05436733,10.6800673,-175.015248,-3.05436733,0.756865188,0,1,0.523,0,2.41254326,0.174,0.348,0,0.551218698,1.37804675,1.38281436,0,0,0,-1,-646.797032,0,141.470995,-141.470995,0,-30,-0.5235,0.0194115066,2.43195477,0,0,0,-4.60547777,-4.97821614,-0.597156666,23.4934193,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.2995,29.9156,0,0,-0,-0,0,130,130,2.9737507842410743e-05,1.74222801390961375e-06,20925650.5959821492,-21.489955803486037
1.919999242,-9.593142033107021,427.1111963071377,161.3192464264333,-941.4286949202219,-1337.429618332806,-34.05671798489313,-9.593484850282236,427.1101902414794,161.3152058062173,3.287063817,1638864.053,52.5970144076,1522.49724295,-44.74023177691499,27.3660343802687,3.982178729606014,85.80813463811567,107.117447560744,-210.8581619112377,-50.25073373216753,-21.78412125429979,-112.9668194319333,11.97961585208134,-0.1748900688602915,115.836871496766,-44.74023177691499,27.3660343802687,3.982178729606014,51.76654124788762,1521.601869622103,-6.769812717698759,51.9796375782364,-4.328144820951342,-6.769812717698766,-6.769841473883501,-4.328146849923788,-51.97963366408647, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,7.6414792500436,7.6414792466918,-82.91681478378815,-55.57169973212507,98.34462565375681,-0.6670163654669822,0.1185902831859301,0.6716234887322817,-0.2999123243819384,0.003257992433430785,0.2959260487467506,0.9465613233453009,-0.1282139629885626,0.003266967951138232,0.2958597846812294,0.9465820371148229,-0.1282137346009976,174.91369715273,31.352131866139,3.1484990094917e-05,3.1697183005671e-05,2.236482651434e-06,20925653.76172523,2930.587328592683,11.49899719451906,20925653.96693605,0.8168116825477227,11.49899719451906,0.0080218991662066,7.6414792466918,3.2706509777303e-09,1.71943752,19.6969697,19.6969697,0.999359322,-3.07067847,11.5279669,-175.949876,-3.07067847,1.49306932,0,1,0.523,0,1.44717142,0.174,0.348,0,-0.0214792698,-0.0536981745,-6.42572146,0,0,0,-1,441.027005,0,98.3518699,-98.3518699,0,-30,-0.5235,0.00998827263,1.4571597,0,0,0,-7.64147925,-4.8901758,-0.586447414,-52.5660811,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29955,29.9213,0,0,-0,0,0,130,130,3.23412619869339993e-05,2.01290953163370324e-06,20925653.58852515,-9.59348485028223585
2.159999147,-153.1907208619117,277.5179720902075,136.7499795258633,-302.260030968981,-717.6795521071335,-145.1605261609824,-153.1870159381783,277.5165287242222,136.7486963508102,2.370399111,1391561.303,44.6726997979,1526.18263551,13.65550335871204,40.09662493186898,-14.19288569414794,161.6729767839313,-24.96548114040316,189.63631169326,-33.51202864291746,8.231593000348436,3.014052726312499,5.496208247014782,-0.7667529196170988,6.917785237311402,13.65550335871204,40.09662493186898,-14.19288569414794,44.35398074813411,1525.53574757077,2.616145726029521,44.59428182631804,-0.3948634814994314,2.616145726029521,2.616121678416045,-0.3948639219331636,-44.59428323317689, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,19.355211012065,19.35521101021,-72.39600358628479,14.92732246640834,23.40443002423613,0.7679530863565133,-0.5946637385004128,-0.01612319341007148,0.2374092203400704,-0.5316238673607196,0.5883643607878577,0.5544258006359309,0.2526172484141471,-0.5316437605356775,0.5883206952642029,0.5544721354404947,0.2525753796936393,-46.105482940014,63.839742484673,3.0690101838239e-05,3.0896937487568e-05,5.6587959402031e-07,20925665.42106008,3296.200345239227,11.20869313988597,20925665.68066799,0.2066715437090352,11.20869313988597,0.0090246365619824,19.35521101021,0,0.411484363,19.6969697,19.6969697,0.998936341,-3.12315624,11.2105879,-178.956852,-3.12315624,2.74854471,0,1,0.523,0,1.26354863,0.174,0.348,0,2.72594702,6.81486755,6.36639523,0,0,0,-1,-203.754449,0,23.406154,-23.406154,0,-23.406154,-0.408437388,-0.0156523925,1.24789624,0,0,0,-19.355211,-5.73599144,-0.687208759,-45.281492,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29957,29.9262,0,-0,0,-0,0,130,130,3.18233134208152106e-05,1.02408115161870544e-08,20925665.4930770211,-153.187015938178348
